"","ID","adj.P.Val","P.Value","t","B","logFC","SPOT_ID"
"15953_at","15953_at",0.0504096473682344,0.00036512364058533,-4.13844593188744,0.218618124951304,-0.137988053203804,15953
"54140_at","54140_at",0.0507998000089977,0.000373419013067565,-4.12961907510414,0.198358027355073,-0.366654076718047,54140
"104174_at","104174_at",0.0507998000089977,0.000376715183695008,-4.12616560067066,0.190432501454055,-0.134579742975427,104174
"83961_at","83961_at",0.0507998000089977,0.000379329450485347,4.12344781603248,0.184195807365816,0.368965835748181,83961
"69288_at","69288_at",0.0515281645909539,0.000388615936655193,4.11394155994921,0.162384401342734,0.119841042049879,69288
"67876_at","67876_at",0.0518927420213749,0.000395240418621583,4.10729696107718,0.147141939061737,0.202337185210667,67876
"11833_at","11833_at",0.0520446158131234,0.000400283410151711,-4.10231225743692,0.135708912537061,-0.149585106998807,11833
"13195_at","13195_at",0.0521997000104401,0.000405374014417994,-4.09734323080731,0.124313314306686,-0.174699253416877,13195
"19698_at","19698_at",0.0522059730034507,0.000411667728265554,-4.09128463488061,0.110420995006881,-0.235339863843808,19698
"76654_at","76654_at",0.0522059730034507,0.000414063292492042,4.08900265195967,0.105189005107693,0.313734768697095,76654
"68453_at","68453_at",0.0522059730034507,0.000417117615842983,-4.08611204393334,0.0985620584363103,-0.0970008817941146,68453
"76574_at","76574_at",0.0522249507505526,0.000422712205802448,4.08087130951829,0.0865485890650648,0.198067673393735,76574
"226781_at","226781_at",0.0522249507505526,0.000427107170338686,-4.07680229982784,0.0772222868116934,-0.295785265932768,226781
"18671_at","18671_at",0.0522249507505526,0.000428968382807705,4.0750916138449,0.0733016533174098,0.306087010159368,18671
"74008_at","74008_at",0.0528767378783595,0.000440056400751629,-4.06505026383406,0.0502922010399898,-0.133771915293195,74008
"26399_at","26399_at",0.0528767378783595,0.000443981536033356,4.06155560748786,0.0422858453971626,0.308191935046541,26399
"11655_at","11655_at",0.0528767378783595,0.000446167217760949,4.05962287409392,0.0378582460456043,0.181166112502624,11655
"14699_at","14699_at",0.053296562127575,0.000455189959710507,-4.0517423417691,0.0198077277756497,-0.236885608395353,14699
"235497_at","235497_at",0.053296562127575,0.000459664643342433,-4.04789131276763,0.0109883969171776,-0.215200917773409,235497
"108960_at","108960_at",0.053296562127575,0.000461648835633117,-4.04619552905135,0.00710516512325743,-0.12485692876521,108960
"231327_at","231327_at",0.0533386430046075,0.00046599620904563,4.04250514588157,-0.00134488133757582,0.125160520155875,231327
"230674_at","230674_at",0.0545457510130197,0.000482565383181382,-4.02874572125651,-0.0328420852337237,-0.152658885445065,230674
"233115_at","233115_at",0.0545457510130197,0.000484688199712466,-4.02701677525482,-0.0367989267640354,-0.237559079487833,233115
"66632_at","66632_at",0.0578133151670263,0.000518040458485899,-4.00079428219602,-0.0967844224077252,-0.126107692823746,66632
"28250_at","28250_at",0.0581075309836505,0.000525015774269841,3.99552170572245,-0.10883949115556,0.188428000921723,28250
